Powerbuilding 3.0 Program - 5x/Week Spreadsheet,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,"IMPORTANT: In the light green cell below, type ""kg"" if using kilograms or type ""lbs"" if using pounds (quotation marks not included)",,,,,,,,,,,,,,,,,,,,,,
,,kg,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,"IMPORTANT: On the right, enter your CURRENT 1 rep max loads in the spaces below the given exercise (use the same units you specified above).",,Squat,Bench,Deadlift ,OHP,,,,,,,,,,,,,,,,,,
,,,130,10,100,100,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Chest-Supported Row,1,4,8-10,,N/A,9,1-2min,Can use machine or brace against bench. Minimize cheating.,,,,,,,,,,,,,,,
FULL BODY 2:,Strict Bench Press,4,1,1,10-10,87.5-90%,~7-8,3-5min,Strict 1 second pause on chest. Execute the set up and rep as perfectly as possible. Don't overhype. Focus. ,,,,,,,,,,,,,,,
,Barbell Bench Press,0,3,3,7.5-7.5,82.5-85%,7-8,3-5min,"Set up a comfortable arch, quick pause on chest and explode up on each rep",,,,,,,,,,,,,,,
,Seated Leg Curl,1,3,10-12,,N/A,8,1-2min,Focus on squeezing your hamstrings to move the weight,,,,,,,,,,,,,,,
,EZ-Bar Strict Curl,1,4,6-8,,N/A,10,1-2min,"Lean against wall and maintain wall contact with head, hips and back. Keep elbows pinned at sides. Control the weight.",,,,,,,,,,,,,,,
,Face Pull,0,3,15-20,,N/A,9,1-2min,"Don't go too heavy, focus on mind-muscle connection",,,,,,,,,,,,,,,
,Seated Calf Raise,1,3,10-12,,N/A,9,1-2min,Push these all very hard. Go to true failure.,,,,,,,,,,,,,,,
FULL BODY 3:,Sissy Squat,3,3,8,,N/A,6,2-4min,"Sit fully back on to the box, release tension in thighs, minimize rocking while seated",,,,,,,,,,,,,,,
,Barbell Pin Bench Press,3,3,8,7.5-7.5,70-75%,6,2-4min,"Set the pins just above chest height, release tension while the bar is on the pins, then explode up. Control the weight.",,,,,,,,,,,,,,,
,Neutral Grip Pulldown,1,4,6-8,,N/A,9,2-3min,Pull your elbows down against your sides,,,,,,,,,,,,,,,
,Overhead Tricep Extension,1,3,8-10,,N/A,10,1-2min,Arc the dummbells behind your head. Constant tension on triceps,,,,,,,,,,,,,,,
REST DAY,,,,,,,,,,,,,,,,,,,,,,,,
FULL BODY 4:,Deadlift,4,1,2,90,90%,8-9,3-5min,"Brace your lats, chest tall, pull the slack out of the bar before lifting",,,,,,,,,,,,,,,
,Touch-And-Go Deadlift,0,2,8,65-70,65-70%,7,2-4min,"Don't bounce the plates off the floor, just a light tap. Allow some momentum and get in a good groove. Breathe/brace at the top.",,,,,,,,,,,,,,,
,Dumbbell Lateral Raise,0,4,15-20,,N/A,9,1-2min,"Focus on contracting your delts to move the weight, don't let form get sloppy toward the end of the set!",,,,,,,,,,,,,,,
,Face Pulls,1,4,15-20,,N/A,9,1-2min,Mind-muscle connection with rear delts,,,,,,,,,,,,,,,
,Lat Pullovers,1,3,15-20,,N/A,7,1-2min,Use bands if no cables. Keep constant tension on the lats. Big stretch at the top by leaning slightly forward.,,,,,,,,,,,,,,,
,Hammer Curl,1,4,8-10,,N/A,9,1-2min,"Keep elbows locked in place, squeeze the dumbbell handle hard!",,,,,,,,,,,,,,,
FULL BODY 5:,Back Squat,4,3,6,95,72.5%,7-8,3-5min,"Sit back and down, keep your upper back tight to the bar",,,,,,,,,,,,,,,
,Barbell Bench Press,4,3,6,7.5,75%,7-8,3-5min,"Set up a comfortable arch, quick pause on chest and explode up on each rep",,,,,,,,,,,,,,,
,Bent Over Row,1,3,10-12,,N/A,8,2-3min,"Be mindful of lower back fatgiue, stay light and minimize cheating",,,,,,,,,,,,,,,
,Hip Abduction,0,3,12-15,,N/A,8,1-2min,"Machine, band or weighted, squeeze and hold for 1 second at the top of each rep",,,,,,,,,,,,,,,
REST DAY,,,,,,,,,,,,,,,,,,,,,,,,
Week 3,Exercise,Warm-up Sets,Working Sets,Reps,Load,%1RM,RPE,Rest,Notes,,,,,,,,,,,,,,,
FULL BODY 1:,Back Squat (Top Single),4,1,1,115-117.5,87.5-90%,~7-9,3-5min,Top set. Focus on technique and explosive power.,,,,,,,,,,,,,,,
,Back Squat,0,2,4,100-105,77.5-80%,7-8,3-5min,"Sit back and down, keep your upper back tight to the bar",,,,,,,,,,,,,,,
,Barbell Overhead Press,3,2,8,70,70%,6,2-3min,These are intentionally light for shoulder stability and balance. Don't push these hard. Big bench day tomorrow.,,,,,,,,,,,,,,,
,Romanian Deadlift,2,2,8-10,,N/A,6,2-3min,"Set the pins high, short ROM, use low bar position, set hips back and keep shins vertical",,,,,,,,,,,,,,,
,Chest-Supported Row,1,4,8-10,,N/A,9,1-2min,Can use machine or brace against bench. Minimize cheating.,,,,,,,,,,,,,,,
FULL BODY 2:,Strict Bench Press,4,1,1,10-10,90-92.5%,~7-9,3-5min,Strict 1 second pause on chest. Execute the set up and rep as perfectly as possible. Don't overhype. Focus. ,,,,,,,,,,,,,,,
,Barbell Bench Press,0,3,2,7.5-10,85-87.5%,7-8,3-5min,"Set up a comfortable arch, quick pause on chest and explode up on each rep",,,,,,,,,,,,,,,
,Seated Leg Curl,1,3,10-12,,N/A,8,1-2min,Focus on squeezing your hamstrings to move the weight,,,,,,,,,,,,,,,
,EZ-Bar Strict Curl,1,4,6-8,,N/A,10,1-2min,"Lean against wall and maintain wall contact with head, hips and back. Keep elbows pinned at sides. Control the weight.",,,,,,,,,,,,,,,
,Face Pull,0,3,15-20,,N/A,9,1-2min,"Don't go too heavy, focus on mind-muscle connection",,,,,,,,,,,,,,,
,Seated Calf Raise,1,3,10-12,,N/A,9,1-2min,Push these all very hard. Go to true failure.,,,,,,,,,,,,,,,
FULL BODY 3:,Wide Stance Back Squat,3,3,8,,N/A,6,2-4min,This is a pin squat that starts and ends with the bar on the pins. At the bottom you're just above parallel. Get tight.,,,,,,,,,,,,,,,
,Close Grip Bench Press,3,3,8,,N/A,6,2-4min,"Shoulder width grip, tuck your elbows in closer to your sides",,,,,,,,,,,,,,,
,Neutral Grip Pulldown,1,4,6-8,,N/A,9,2-3min,Pull your elbows down against your sides,,,,,,,,,,,,,,,
,Dumbell Shrugs,1,3,8-10,,N/A,10,1-2min,Arc the dummbells behind your head. Constant tension on triceps,,,,,,,,,,,,,,,
REST DAY,,,,,,,,,,,,,,,,,,,,,,,,
FULL BODY 4:,Deadlift,4,1,2-4,90,90%,8-9,3-5min,"Brace your lats, chest tall, pull the slack out of the bar before lifting",,,,,,,,,,,,,,,
,Pause Deadlift,0,2,4,70,70%,7,2-4min,1 second pause right after plates leave the floor,,,,,,,,,,,,,,,
,Dumbbell Lateral Raise,0,4,15-20,,N/A,9,1-2min,"Focus on contracting your delts to move the weight, don't let form get sloppy toward the end of the set!",,,,,,,,,,,,,,,
,Rear Delt Flys,1,4,15-20,,N/A,9,1-2min,Mind-muscle connection with rear delts,,,,,,,,,,,,,,,
,Lat Cable Pullover,1,3,15-20,,N/A,7,1-2min,Use bands if no cables. Keep constant tension on the lats. Big stretch at the top by leaning slightly forward.,,,,,,,,,,,,,,,
,Hammer Curl,1,4,8-10,,N/A,9,1-2min,"Keep elbows locked in place, squeeze the dumbbell handle hard!",,,,,,,,,,,,,,,
FULL BODY 5:,Back Squat,4,2,6,97.5,75%,7-8,3-5min,"Sit back and down, keep your upper back tight to the bar",,,,,,,,,,,,,,,
,Barbell Bench Press,4,3,6,7.5,77.5%,7-8,3-5min,"Set up a comfortable arch, quick pause on chest and explode up on each rep",,,,,,,,,,,,,,,
,Chest Supported Row,1,3,10-12,,N/A,8,1-2min,"Be mindful of lower back fatgiue, stay light and minimize cheating",,,,,,,,,,,,,,,
,Hip Abduction,0,3,12-15,,N/A,8,1-2min,"Machine, band or weighted, squeeze and hold for 1 second at the top of each rep",,,,,,,,,,,,,,,
REST DAY,,,,,,,,,,,,,,,,,,,,,,,,
Week 4,Exercise,Warm-up Sets,Working Sets,Reps,Load,%1RM,RPE,Rest,Notes,,,,,,,,,,,,,,,
FULL BODY 1:,Back Squat (Top Single),4,1,1,115-117.5,87.5-90%,~7-9,3-5min,Top set. Focus on technique and explosive power.,,,,,,,,,,,,,,,
,Back Squat,0,3,4,100-105,77.5-80%,7-8,3-5min,"Sit back and down, keep your upper back tight to the bar",,,,,,,,,,,,,,,
,Barbell Overhead Press,3,2,8,70,70%,6,2-3min,These are intentionally light for shoulder stability and balance. Don't push these hard. Big bench day tomorrow.,,,,,,,,,,,,,,,
,Romanian Deadlift,2,2,8-10,,N/A,6,2-3min,"Set the pins high, short ROM, use low bar position, set hips back and keep shins vertical",,,,,,,,,,,,,,,
,Chest-Supported Row,1,4,8-10,,N/A,9,1-2min,Can use machine or brace against bench. Minimize cheating.,,,,,,,,,,,,,,,
FULL BODY 2:,Strict Bench Press,4,1,1,10-10,90-95%,~7-9,3-5min,Strict 1 second pause on chest. Execute the set up and rep as perfectly as possible. Don't overhype. Focus. ,,,,,,,,,,,,,,,
,Barbell Bench Press,0,3,2,7.5-10,85-90%,7-8,3-5min,"Set up a comfortable arch, quick pause on chest and explode up on each rep",,,,,,,,,,,,,,,
,Seated Leg Curl,1,3,10-12,,N/A,8,1-2min,Focus on squeezing your hamstrings to move the weight,,,,,,,,,,,,,,,
,Incline Dumbell Curl,1,4,6-8,,N/A,10,1-2min,,,,,,,,,,,,,,,,
,Face Pull,0,3,15-20,,N/A,9,1-2min,"Don't go too heavy, focus on mind-muscle connection",,,,,,,,,,,,,,,
,Seated Calf Raise,1,3,10-12,,N/A,9,1-2min,Push these all very hard. Go to true failure.,,,,,,,,,,,,,,,
FULL BODY 3:,Sissy Squat,3,3,12,,N/A,6,2-4min,"Sit fully back on to the box, release tension in thighs, minimize rocking while seated",,,,,,,,,,,,,,,
,Barbell Bench Press,3,3,8,7.5-7.5,70-75%,6,2-4min,"Set the pins just above chest height, release tension while the bar is on the pins, then explode up. Control the weight.",,,,,,,,,,,,,,,
,Neutral Grip Pulldown,1,4,6-8,,N/A,9,2-3min,Pull your elbows down against your sides,,,,,,,,,,,,,,,
,Cable Chest Flys,1,2,8,,,,,,,,,,,,,,,,,,,,
,Tricep Pushdown,1,3,8-10,,N/A,10,1-2min,Arc the dummbells behind your head. Constant tension on triceps,,,,,,,,,,,,,,,
REST DAY,,,,,,,,,,,,,,,,,,,,,,,,
FULL BODY 4:,Deadlift,4,1,1,92.5-95,92.5-95%,8-9,3-5min,"Brace your lats, chest tall, pull the slack out of the bar before lifting",,,,,,,,,,,,,,,
,Touch-And-Go Deadlift,0,2,5,65-75,65-75%,7,2-4min,1 second pause right after plates leave the floor,,,,,,,,,,,,,,,
,Dumbbell Lateral Raise,0,4,15-20,,N/A,9,1-2min,"Focus on contracting your delts to move the weight, don't let form get sloppy toward the end of the set!",,,,,,,,,,,,,,,
,Band Pull-Apart,1,4,15-20,,N/A,9,1-2min,Mind-muscle connection with rear delts,,,,,,,,,,,,,,,
,Lat Pulldown,1,3,12,,N/A,7,1-2min,Use bands if no cables. Keep constant tension on the lats. Big stretch at the top by leaning slightly forward.,,,,,,,,,,,,,,,
,Hammer Curl,1,4,8-10,,N/A,9,1-2min,"Keep elbows locked in place, squeeze the dumbbell handle hard!",,,,,,,,,,,,,,,
FULL BODY 5:,Back Squat,4,2,6,100,77.5%,7-8,3-5min,"Sit back and down, keep your upper back tight to the bar",,,,,,,,,,,,,,,
,Barbell Bench Press,4,1,6,7.5,80%,7-8,3-5min,"Set up a comfortable arch, quick pause on chest and explode up on each rep",,,,,,,,,,,,,,,
,Bent Over Row,1,3,10-12,,N/A,8,2-3min,"Be mindful of lower back fatgiue, stay light and minimize cheating",,,,,,,,,,,,,,,
,Hip Abduction,0,3,12-15,,N/A,8,1-2min,"Machine, band or weighted, squeeze and hold for 1 second at the top of each rep",,,,,,,,,,,,,,,
REST DAY,,,,,,,,,,,,,,,,,,,,,,,,
Semi-deload Week - Avoid failure and train lighter this week to promote recovery and to prepare for the next 5 weeks!,,,,,,,,,,,,,,,,,,,,,,,,
Week 5: Semi-Deload,Exercise,Warm-up Sets,Working Sets,Reps,Load,%1RM,RPE,Rest,Notes,,,,,,,,,,,,,,,
FULL BODY 1:,Back Squat,4,2,5,97.5-100,75-77.5%,~5-7,3-5min,"Sit back and down, keep your upper back tight to the bar",,,,,,,,,,,,,,,
,Barbell Overhead Press,3,2,8,70,70%,6,2-3min,"Squeeze your glutes to keep your torso upright, press up and slightly back",,,,,,,,,,,,,,,
,Romanian Deadlift,2,2,8-10,,N/A,6,2-3min,"Set the pins high, short ROM, use low bar position, set hips back and keep shins vertical",,,,,,,,,,,,,,,
,Chest-Supported Row,1,3,8-10,,N/A,9,1-2min,Can use machine or brace against bench. Minimize cheating.,,,,,,,,,,,,,,,
FULL BODY 2:,Barbell Bench Press,4,3,3,7.5,85%,7-8,3-5min,"Set up a comfortable arch, quick pause on chest and explode up on each rep",,,,,,,,,,,,,,,
,Seated Leg Curl,1,3,10-12,,N/A,8,1-2min,Focus on squeezing your hamstrings to move the weight,,,,,,,,,,,,,,,
,Barbell Strict Curl,1,3,6-8,,N/A,9,1-2min,"Lean against wall and maintain wall contact with head, hips and back. Keep elbows pinned at sides. Control the weight.",,,,,,,,,,,,,,,
,Face Pull,0,3,15-20,,N/A,9,1-2min,"Don't go too heavy, focus on mind-muscle connection",,,,,,,,,,,,,,,
,Seated Calf Raise,1,3,10-12,,N/A,9,1-2min,Push these all very hard. Go to true failure.,,,,,,,,,,,,,,,
FULL BODY 3:,Wide Stance Back Squat,3,2,6,,N/A,6,2-4min,This is a pin squat that starts and ends with the bar on the pins. At the bottom you're just above parallel. Get tight.,,,,,,,,,,,,,,,
,Close Grip Bench Press,3,2,8,,N/A,6,2-4min,"Shoulder width grip, tuck your elbows in closer to your sides",,,,,,,,,,,,,,,
,Neutral Grip Pulldown,1,3,6-8,,N/A,9,2-3min,Pull your elbows down against your sides,,,,,,,,,,,,,,,
,Dumbell Pullover,1,3,8-10,,N/A,9,2-3min,Arc the dummbells behind your head. Constant tension on triceps,,,,,,,,,,,,,,,
REST DAY,,,,,,,,,,,,,,,,,,,,,,,,
FULL BODY 4:,Deadlift,4,1,3,85,85%,7-8,3-5min,"Brace your lats, chest tall, pull the slack out of the bar before lifting",,,,,,,,,,,,,,,
,Pause Deadlift,0,2,4,67.5,67.5%,7,2-4min,1 second pause right after plates leave the floor,,,,,,,,,,,,,,,
,Dumbbell Lateral Raise,0,3,15-20,,N/A,9,1-2min,"Focus on contracting your delts to move the weight, don't let form get sloppy toward the end of the set!",,,,,,,,,,,,,,,
,Face Pulls,1,3,15-20,,N/A,9,1-2min,Mind-muscle connection with rear delts,,,,,,,,,,,,,,,
,Overhead Tricep Extension,1,3,15-20,,N/A,7,1-2min,Use bands if no cables. Keep constant tension on the lats. Big stretch at the top by leaning slightly forward.,,,,,,,,,,,,,,,
,Hammer Curl,1,3,8-10,,N/A,9,1-2min,"Keep elbows locked in place, squeeze the dumbbell handle hard!",,,,,,,,,,,,,,,
FULL BODY 5:,Back Squat,4,2,6,90,70%,7-8,3-5min,"Sit back and down, keep your upper back tight to the bar",,,,,,,,,,,,,,,
,Barbell Bench Press,4,2,6,7.5,72.5%,7-8,3-5min,"Set up a comfortable arch, quick pause on chest and explode up on each rep",,,,,,,,,,,,,,,
,Seated Row,1,3,10-12,,N/A,8,2-3min,"Be mindful of lower back fatgiue, stay light and minimize cheating",,,,,,,,,,,,,,,
,Hip Abduction,0,3,12-15,,N/A,8,1-2min,"Machine, band or weighted, squeeze and hold for 1 second at the top of each rep",,,,,,,,,,,,,,,
REST DAY,,,,,,,,,,,,,,,,,,,,,,,,
Week 6,Exercise,Warm-up Sets,Working Sets,Reps,Load,%1RM,RPE,Rest,Notes,,,,,,,,,,,,,,,
FULL BODY 1:,Back Squat (Top Single),4,1,1,115-117.5,87.5-90%,~7-9,3-5min,Top set. Focus on technique and explosive power.,,,,,,,,,,,,,,,
,Back Squat,0,3,3,105-110,80-85%,8-9,3-5min,"Sit back and down, keep your upper back tight to the bar",,,,,,,,,,,,,,,
,Barbell Overhead Press,3,2,8,70,70%,6,2-3min,These are intentionally light for shoulder stability and balance. Don't push these hard. Big bench day tomorrow.,,,,,,,,,,,,,,,
,Good Morning,2,2,8-10,,N/A,6,2-3min,"Set the pins high, short ROM, use low bar position, set hips back and keep shins vertical",,,,,,,,,,,,,,,
,Chest-Supported Row,1,3,8-10,,N/A,9,1-2min,Can use machine or brace against bench. Minimize cheating.,,,,,,,,,,,,,,,
FULL BODY 2:,Strict Bench Press,4,1,1,10-10,90-95%,~7-9,3-5min,Strict 1 second pause on chest. Execute the set up and rep as perfectly as possible. Don't overhype. Focus. ,,,,,,,,,,,,,,,
,Barbell Bench Press,0,3,2,10-10,87.5-90%,8-9,3-5min,"Set up a comfortable arch, quick pause on chest and explode up on each rep",,,,,,,,,,,,,,,
,Seated Leg Curl,1,2,10-12,,N/A,8,1-2min,Focus on squeezing your hamstrings to move the weight,,,,,,,,,,,,,,,
,Barbell (or EZ-Bar) Strict Curl,1,4,6-8,,N/A,10,1-2min,"Lean against wall and maintain wall contact with head, hips and back. Keep elbows pinned at sides. Control the weight.",,,,,,,,,,,,,,,
,Seated Face Pull,0,2,15-20,,N/A,9,1-2min,"Don't go too heavy, focus on mind-muscle connection",,,,,,,,,,,,,,,
